Executive,Company,Group_Layer,Culture,Career,Communication,Growth,Manager,Respect,Team,Satisfaction
Kialie Krüger,Sparta,`03-04,5,5,3,4,5,5,4,5
Kialie Krüger,Sparta,`03-04,5,5,5,5,5,5,5,4
Kialie Krüger,Sparta,`03-04,5,4,4,4,5,5,5,5
Kishore Roberts,Cyberspace,`03-04,5,4,5,4,5,4,3,5
Kishore Roberts,Cyberspace,`03-04,5,4,5,4,4,5,5,4
Kishore Roberts,Cyberspace,`03-04,4,4,4,4,5,5,5,5
Lee Hart,Plexus,`03-04,4,4,3,4,4,4,4,4
Lee Hart,Plexus,`03-04,4,5,4,5,5,5,5,4
Lee Hart,Plexus,`03-04,4,4,4,4,4,4,4,4
Lubomir Zheng,Sparta,`03-04,5,5,4,5,5,5,4,4
Lubomir Zheng,Sparta,`03-04,4,4,4,3,5,5,4,4
Lubomir Zheng,Sparta,`03-04,4,4,4,4,4,4,4,3
Manoj Salkaukas,BrightStar,`03-04,5,5,5,5,5,5,5,5
Manoj Salkaukas,BrightStar,`03-04,4,4,4,4,4,4,4,4
Manoj Salkaukas,BrightStar,`03-04,3,3,4,3,4,4,4,4
Marcus Achuthan,Fluent,`03-04,5,4,4,5,5,5,5,4
Marcus Achuthan,Fluent,`03-04,4,3,2,5,4,4,5,3
Marcus Achuthan,Fluent,`03-04,5,5,5,5,5,5,3,5
Maria Selby,Sparta,`03-04,2,4,3,4,3,4,4,3
Maria Selby,Sparta,`03-04,3,3,5,4,3,4,4,4
Maria Selby,Sparta,`03-04,2,5,3,5,5,5,5,5
Mark Cabral,Plexus,`03-04,5,4,4,4,5,5,4,4
Mark Cabral,Plexus,`03-04,4,4,3,4,5,5,4,4
Mark Cabral,Plexus,`03-04,5,3,4,2,1,1,5,2
Markus Claus,Pantheon,`03-04,5,2,3,2,5,3,5,5
Markus Claus,Pantheon,`03-04,5,3,4,3,5,5,5,4
Markus Claus,Pantheon,`03-04,5,3,5,4,5,4,5,5
Marlon Sheive,Sparta,`03-04,4,4,5,4,5,4,5,4
Marlon Sheive,Sparta,`03-04,3,3,4,4,5,5,4,4
Marlon Sheive,Sparta,`03-04,4,1,4,1,5,4,4,4
Michael Odenthal,Sparta,`03-04,3,5,5,5,5,5,3,5
Michael Odenthal,Sparta,`03-04,5,4,4,5,5,5,5,5
Michael Odenthal,Sparta,`03-04,5,5,5,5,5,5,5,5
Michelle DiManna,Plexus,`03-04,4,4,3,4,4,4,4,4
Michelle DiManna,Plexus,`03-04,4,3,3,4,4,4,4,4
Michelle DiManna,Plexus,`03-04,4,4,4,4,4,4,4,3
Monika Foster,Sparta,`03-04,5,4,5,5,4,5,5,5
Monika Foster,Sparta,`03-04,5,5,5,5,5,5,5,5
Monika Foster,Sparta,`03-04,5,5,5,5,5,5,5,5
Nicolaos Phillips,BrightStar,`03-04,4,3,3,3,4,5,4,5
Nicolaos Phillips,BrightStar,`03-04,4,3,3,4,4,5,4,4
Nicolaos Phillips,BrightStar,`03-04,3,3,4,4,3,4,3,3
Olivia Bhat,Plexus,`05-06,3,4,4,3,4,4,4,4
Olivia Bhat,Plexus,`05-06,2,1,3,2,4,3,2,2
Olivia Bhat,Plexus,`05-06,3,2,4,2,5,3,3,2
Peter Aggarwal,Pantheon,`03-04,3,4,4,4,4,5,4,4
Peter Aggarwal,Pantheon,`03-04,5,3,4,3,4,4,3,4
Peter Aggarwal,Pantheon,`03-04,4,3,3,3,4,4,4,4
Peter Kebeiks,Plexus,`05-06,4,5,4,5,5,5,5,4
Peter Kebeiks,Plexus,`05-06,4,1,1,4,5,2,4,3
Peter Kebeiks,Plexus,`05-06,3,3,2,3,5,4,3,3
Rhonda Smallen,Sparta,`03-04,4,4,3,3,3,3,4,5
Rhonda Smallen,Sparta,`03-04,5,5,4,4,5,5,4,4
Rhonda Smallen,Sparta,`03-04,3,3,4,4,4,3,3,3
Robert Vermette,Fluent,`03-04,5,2,2,3,5,5,5,4
Robert Vermette,Fluent,`03-04,4,5,2,4,5,5,5,4
Robert Vermette,Fluent,`03-04,4,3,2,4,3,5,3,4
Stephen Raevsky,BrightStar,`03-04,4,4,3,5,5,5,5,5
Stephen Raevsky,BrightStar,`03-04,4,4,4,4,4,4,4,4
Stephen Raevsky,BrightStar,`03-04,4,5,4,5,3,4,4,4
Sunanda Stuart,BrightStar,`03-04,5,4,5,4,5,5,5,5
Sunanda Stuart,BrightStar,`03-04,-1,-1,-1,-1,-1,-1,-1,-1
Sunanda Stuart,BrightStar,`03-04,4,2,4,4,4,4,4,4
Suneetha Baroch,Pantheon,`03-04,4,4,3,4,5,5,5,5
Suneetha Baroch,Pantheon,`03-04,4,4,4,5,4,5,5,5
Suneetha Baroch,Pantheon,`03-04,5,5,4,4,3,4,5,5
Todd Resa,BrightStar,`03-04,4,1,1,3,3,2,3,1
Todd Resa,BrightStar,`03-04,3,2,3,2,1,4,3,3
Todd Resa,BrightStar,`03-04,5,4,4,4,3,5,4,3
William Duke,Sparta,`03-04,3,4,4,4,3,4,4,4
William Duke,Sparta,`03-04,4,4,4,4,5,3,3,3
William Duke,Sparta,`03-04,3,3,4,4,4,4,4,4
William Gomez,Cyberspace,`03-04,2,4,3,3,3,4,4,3
William Gomez,Cyberspace,`03-04,4,2,4,2,4,5,5,3
William Gomez,Cyberspace,`03-04,5,4,5,4,5,5,5,5
William Rengasamy,Cyberspace,`03-04,5,4,5,4,5,5,5,4
William Rengasamy,Cyberspace,`03-04,4,4,4,4,5,4,4,5
William Rengasamy,Cyberspace,`03-04,4,4,5,4,4,5,4,5
